Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/1__fc_512__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
124173,124173,134904,134904,134904,134904,136948,136948,136948,130816,130816,130816,138992,138992,138992,138481,138481,138481,135926,135926,135926
118597,75055,56608,44492,39490,37124,31988,29878,30445,25616,25877,24216,25013,23240,20557,20051,20618,19612,20930,18293,18513
106523,30455,17450,11666,10940,8048,6351,4864,5646,4241,6172,3812,4098,4537,4077,4200,3229,4195,4062,3771,4062
97151,17195,9489,6310,4736,4844,3725,4088,2733,2968,3004,2595,3219,2181,2779,1992,2044,2233,2555,2120,3142
87089,12555,5631,3428,2698,3837,1241,3127,1911,1318,1533,1916,2227,1768,1619,1134,2044,536,2442,1088,1578
73711,9300,3878,2866,2555,3459,1022,2212,1533,511,311,1400,1154,1022,1098,1022,1078,511,1604,1022,766
66516,6177,3500,1762,2555,3066,669,812,1016,511,0,812,848,1022,511,1022,1022,511,1533,935,511
58923,3219,2759,1533,2555,2498,500,40,511,511,0,511,260,904,214,710,1022,511,1533,393,511
52975,1425,2325,1533,1962,2044,0,0,511,511,0,511,0,470,0,511,807,511,1533,0,511
44778,1022,1119,1533,725,1860,0,0,475,245,0,511,0,0,0,511,511,511,1073,0,511
38238,1022,684,1533,511,1435,0,0,0,0,0,511,0,0,0,511,511,511,511,0,511
33061,1022,511,1328,511,1022,0,0,0,0,0,511,0,0,0,511,511,511,511,0,219
26015,1022,511,633,511,1022,0,0,0,0,0,403,0,0,0,91,511,511,511,0,0
21927,822,511,511,511,1022,0,0,0,0,0,0,0,0,0,0,511,511,511,0,0
20332,511,511,511,511,1022,0,0,0,0,0,0,0,0,0,0,337,511,357,0,0
17271,511,511,511,511,1022,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0
14170,475,511,0,511,1022,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0
11144,0,511,0,511,511,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0
8487,0,511,0,511,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0
7271,0,393,0,5,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0
6602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
