Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/1__l_1024__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
2026,2026,2026,2026,1955,1955,1955,1875,1875,1875,1875,1824,1824,1824,1946,1946,1946,1946,2059,2059,2059
1620,1220,1106,771,655,480,479,321,273,232,233,229,194,207,155,157,171,177,211,220,186
2267,1452,1228,595,267,82,36,34,31,3,0,0,0,0,0,0,4,25,56,87,64
2540,1760,1225,584,155,47,0,0,1,0,0,0,0,0,0,0,0,0,11,29,64
2654,1922,1480,476,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,64
2775,2173,1538,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64
2825,2343,1452,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3002,2397,1621,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3046,2394,1544,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3113,2403,1730,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3092,2429,1699,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3124,2451,1476,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3122,2348,1563,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3144,2318,1661,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3182,2281,1813,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3170,2230,1759,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3159,2245,1597,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3179,2269,1651,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3207,2307,1507,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3144,2396,1504,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3107,2346,1337,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3074,2333,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3029,2331,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3051,2333,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3008,2300,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3008,2322,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
2946,2248,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
2923,2271,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
2922,2357,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
2922,2248,1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
2939,2197,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3038,2235,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3135,2210,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3159,2330,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3142,2404,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3101,2427,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3103,2418,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3096,2351,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3059,2319,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3099,2409,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3089,2325,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
3050,2432,1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
