Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.000000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.050000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.100000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.150000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.200000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.250000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.300000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.350000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.400000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.450000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.500000_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.549999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.599999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.649999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.699999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.749999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.799999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.849999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.899999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.949999_0.000000___#1.txt ,Results/1__tftb_512__10000__1.000000__1.000000_0.000000_1.999999_0.000000___#1.txt 
960,960,960,1028,1028,1028,1076,1076,1076,1076,1008,1008,1008,964,964,964,964,1044,1044,1044,1052
530,295,298,255,232,135,211,133,104,145,118,114,108,62,54,52,51,70,59,54,55
795,388,293,137,46,31,49,2,0,3,5,0,0,0,0,0,0,0,0,0,0
1092,525,338,124,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,710,322,117,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,867,416,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1553,1008,506,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,1058,507,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,1104,581,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,1142,663,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,1222,732,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,1320,803,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,1413,893,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1463,925,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,1516,951,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,1561,1017,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,1549,1073,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,1571,1090,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,1594,1083,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,1614,1119,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,1633,1112,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,1644,1129,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,1679,1126,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,1697,1112,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,1706,1144,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1723,1196,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,1738,1236,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,1737,1247,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,1752,1267,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,1759,1306,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,1801,1309,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,1816,1375,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,1815,1401,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,1823,1428,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,1832,1451,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,1825,1441,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,1840,1415,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,1870,1455,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1883,1492,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,1921,1519,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,1959,1558,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,1959,1613,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,1964,1588,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,1964,1578,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1962,1613,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1955,1605,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,1955,1630,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,1950,1653,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,1953,1680,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,1958,1687,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1950,1714,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,1954,1705,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,1958,1724,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,1962,1742,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,1965,1702,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,1962,1728,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,1960,1727,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1949,1762,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,1959,1767,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,1962,1762,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,1965,1756,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,1955,1753,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1965,1774,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1953,1786,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1969,1808,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,1962,1790,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1963,1798,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,1974,1827,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1974,1847,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1969,1878,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1970,1896,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,1976,1898,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,1976,1942,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1970,1953,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,1973,1967,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1971,1945,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,1964,1951,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,1965,1949,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,1959,1961,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,1971,1961,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1975,1932,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,1967,1929,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,1969,1963,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,1974,1935,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,1979,1939,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,1970,1964,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1958,1965,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,1961,1968,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1970,1984,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1972,1968,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,1976,1976,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,1956,1956,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1962,1952,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1975,1954,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,1974,1963,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,1972,1982,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1977,1957,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1977,1963,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1976,1953,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1968,1964,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
