Type: OTHER #Tag: 1 b = 1 ######################
Update! 122640 cooperative actions made last generation!
Update! 100667 cooperative actions made last generation!
Update! 79205 cooperative actions made last generation!
Update! 62853 cooperative actions made last generation!
Update! 48034 cooperative actions made last generation!
Update! 38325 cooperative actions made last generation!
Update! 29638 cooperative actions made last generation!
Update! 17374 cooperative actions made last generation!
Update! 13797 cooperative actions made last generation!
Update! 10731 cooperative actions made last generation!
Type: OTHER #Tag: 1 b = 1.025 ######################
Update! 137970 cooperative actions made last generation!
Update! 36792 cooperative actions made last generation!
Update! 19929 cooperative actions made last generation!
Update! 10220 cooperative actions made last generation!
Update! 7665 cooperative actions made last generation!
Update! 4599 cooperative actions made last generation!
Update! 4599 cooperative actions made last generation!
Update! 3577 cooperative actions made last generation!
Update! 3577 cooperative actions made last generation!
Update! 2555 cooperative actions made last generation!
Type: OTHER #Tag: 1 b = 1.1 ######################
Update! 131327 cooperative actions made last generation!
Update! 14308 cooperative actions made last generation!
Update! 6643 cooperative actions made last generation!
Update! 4088 cooperative actions made last generation!
Update! 2555 cooperative actions made last generation!
Update! 1533 cooperative actions made last generation!
Update! 1022 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Type: OTHER #Tag: 1 b = 1.15 ######################
Update! 135415 cooperative actions made last generation!
Update! 7665 cooperative actions made last generation!
Update! 2555 cooperative actions made last generation!
Update! 2044 cooperative actions made last generation!
Update! 1022 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Type: OTHER #Tag: 1 b = 1.2 ######################
Update! 127239 cooperative actions made last generation!
Update! 5110 cooperative actions made last generation!
Update! 2555 cooperative actions made last generation!
Update! 1533 cooperative actions made last generation!
Update! 1022 cooperative actions made last generation!
Update! 1022 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Update! 511 cooperative actions made last generation!
Type: OTHER2 #Tag: 1 b = 1 ######################
Update! 936 cooperative actions made last generation!
Update! 408 cooperative actions made last generation!
Update! 360 cooperative actions made last generation!
Update! 352 cooperative actions made last generation!
Update! 360 cooperative actions made last generation!
Update! 392 cooperative actions made last generation!
Update! 400 cooperative actions made last generation!
Update! 416 cooperative actions made last generation!
Update! 468 cooperative actions made last generation!
Update! 496 cooperative actions made last generation!
Type: OTHER2 #Tag: 1 b = 1.025 ######################
Update! 1040 cooperative actions made last generation!
Update! 520 cooperative actions made last generation!
